theme,video_id,kargin_id,title,duplicate_of,strength,where,evidence,include
cards,rYQuEejjL50,045,Kargin Haghordum sketch 610 (Hayko Mko),,weak,text.summary_detailed_en,ed WWII because he got two yellow cards in WWI. The teacher then introduc,
cards,tAuhRHjW7VA,089,Kargin Haghordum sketch 653 (Hayko Mko),,weak,text.summary_detailed_en,"r aggressively demands a 'plastic card,' which he mispronounces as 'last",
cards,vbsC8iAwZE4,435,Kargin Haghordum - Deputatner (Hayko Mko),,weak,text.keywords_en,"ional Assembly, price hike, bill, casino, morgue, political satire, corrup",
cards,zO1m7yd-HEQ,340,Kargin Haghordum sketch 507 (Hayko Mko),,weak,visual.visual_synopsis,"aughing, and looking over a small card or menu together.",
cards,zSpHDA3CpKw,660,Kargin Haghordum sketch 223 (Hayko Mko),,weak,text.summary_detailed_en,"Vivaro (a betting company). Using gambling terminology, Mihran delivers t",
doctor,-KoZV7oGH3A,359,Kargin Haghordum sketch 458 (Hayko Mko),,strong,text.summary_detailed_en,The sketch is set in a medical clinic office where a doctor asks a nurs,y
doctor,-VwDzvytdbc,298,Kargin Haghordum sketch 417 (Hayko Mko),,strong,text.summary_detailed_en,The sketch begins in a hospital hallway where a doctor arrives la,y
doctor,088OKSJV3QE,534,Kargin Haghordum sketch 168 (Hayko Mko),,strong,text.title_en,Hospital Waiting Room and the Carpenter,y
doctor,0iKAm_aZ7Og,489,Kargin Haghordum sketch 117 (Hayko Mko),https://www.youtube.com/watch?v=kKDydl5jRAY&list=PLC4FFB3F0AFB8146C&index=168&t=0s,strong,text.summary_en,"A patient in a psychiatric hospital is convinced he is a corpse, lead",
doctor,1e06wVK_It0,201,Kargin Haghordum sketch 538 (Hayko Mko),,strong,text.summary_detailed_en,The sketch takes place in a hospital office where a mustached man in a,y
doctor,3UZOwmPovQ4,275,Kargin Haghordum sketch 228 (Hayko Mko),,strong,text.summary_detailed_en,"al distinct sketches. First, in a hospital ward, a patient insists to his do",
doctor,3Uod7MNtIok,118,Kargin Haghordum sketch 691 (Hayko Mko),,strong,text.summary_detailed_en,The sketch begins in a clinic office where a doctor and a colle,y
doctor,4fWY133vYDs,547,Kargin Haghordum sketch 179 (Hayko Mko),,strong,text.keywords_en,"psychiatric hospital, doctor, asylum, presidential ele",y
doctor,72TIBrWCc_s,139,Kargin Haghordum sketch 375 (Hayko Mko),,strong,text.keywords_en,"doctor, hospital, sexopathologist, urologist, medi",y
doctor,8U7grHLj-uY,565,Kargin Haghordum sketch 200 (Hayko Mko),,strong,text.summary_en,A busy surgeon suggests an unconventional 'intim,y
doctor,8XgcIFcc0TI,531,Kargin Haghordum sketch 165 (Hayko Mko),,strong,text.summary_detailed_en,see the new female doctor at the clinic. The pharmacist explains that the,
doctor,97eKFmfo81M,083,Kargin Haghordum sketch 659 (Hayko Mko),,strong,text.summary_detailed_en,The sketch takes place in a hospital corridor where a surgeon and hosp,y
doctor,AXFZ8ymj--w,379,Kargin Haghordum sketch 142 (Hayko Mko),,strong,text.summary_detailed_en,"b; second, she slept with a chief surgeon to secure a life-saving surgery f",
doctor,BpMQ8COre60,584,Kargin Haghordum sketch 435 (Hayko Mko),,strong,text.summary_en,"iends gather around a dying man's hospital bed, only for his 'last words' to",y
doctor,Ehr0llqH58A,316,Kargin Haghordum sketch 477 (Hayko Mko),,strong,text.summary_en,A psychiatrist tests three mental hospital patients to see if their treatmen,y
doctor,HEcSGn_soZw,213,Kargin Haghordum sketch 393 (Hayko Mko),,strong,text.summary_detailed_en,The sketch takes place in a clinic consulting room where a young doc,y
doctor,IfCuuiv9drk,126,Kargin Haghordum sketch 683 (Hayko Mko),,strong,text.summary_detailed_en,The sketch takes place in a hospital setting where a family is anxious,y
doctor,JfDA604ztNw,647,Kargin Haghordum sketch 590 (Hayko Mko),,strong,text.summary_detailed_en,"Set in a desaturated hospital corridor, the sketch begins with",y
doctor,K_kuz43dZJc,388,Kargin Haghordum - T@riq (Hayko Mko),,strong,text.summary_detailed_en,an in the vest recommends a 'good surgeon' who was also a fellow 'Avgan' (A,
doctor,KksQ0IcHiuk,182,Kargin Haghordum sketch 362 (Hayko Mko),,strong,text.summary_en,"d friends wait by a wealthy man's hospital bed, but the hospital's phone ser",y
doctor,L3CiQABljX8,277,Kargin Haghordum sketch 230 (Hayko Mko),,strong,text.title_en,"Hospital, Pot, and Red Riding Hood",
doctor,LYmYokgBBx4,036,Kargin Haghordum sketch 601 (Hayko Mko),,strong,text.summary_detailed_en,med Samson has been rushed to the hospital and they need to reach his doctor,
doctor,NUyAGOvCJFQ,101,Kargin Haghordum sketch 642 (Hayko Mko),,strong,text.summary_detailed_en,"she is being discharged from the hospital, he instructs Barrymore to cut of",
doctor,O6bcr3JS9tY,558,Kargin Haghordum sketch 190 (Hayko Mko),,strong,text.summary_en,A friend visits Gago in the hospital after surgery to deliver the 'goo,y
doctor,R37WlCTJ_CI,310,Kargin Haghordum sketch 471 (Hayko Mko),,strong,text.keywords_en,"al, casket, television, mourning, dentist, black cake, Kargin Haghordum",
doctor,RO0ws8Io19M,149,Kargin Haghordum sketch 523 (Hayko Mko),,strong,text.summary_detailed_en,"e sketch takes place in a medical clinic examination room, where a doctor",y
doctor,SlLwcM9y00w,535,Kargin Haghordum sketch 169 (Hayko Mko),,strong,text.title_en,The Mechanic and the Heart Surgeon,
doctor,T9eF1pzS0Gw,580,Kargin Haghordum sketch 431 (Hayko Mko),,strong,text.title_en,The Two-Headed Baby and the Hospital,y
doctor,TaKlYeV6i8c,628,Kargin Haghordum sketch 550 (Hayko Mko),,strong,text.title_en,The Classmate Dentist,y
doctor,UKLBaltVKKc,356,Kargin Haghordum sketch 455 (Hayko Mko),,strong,text.keywords_en,"hospital, doctor, mother, bad news, misund",
doctor,VU8zjC3tRtk,296,Kargin Haghordum sketch 415 (Hayko Mko),,strong,text.summary_detailed_en,"sterile white room, presumably a clinic. A doctor, dressed in blue surgic",y
doctor,WHkadKCrhqQ,064,Kargin Haghordum sketch 629 (Hayko Mko),,strong,text.summary_detailed_en,"in a desaturated, black-and-white hospital environment. A goateed doctor and",y
doctor,XVCfkSZnTLE,649,Kargin Haghordum sketch 592 (Hayko Mko),,strong,visual.visual_synopsis,"bespectacled man, first seen in a hospital gown being interviewed, is shown",y
doctor,Xk6LJCfLsSU,315,Kargin Haghordum sketch 476 (Hayko Mko),,strong,text.title_en,Psychiatric Hospital Checkup,y
doctor,XrCXyZfs3qE,516,Kargin Haghordum sketch 150 (Hayko Mko),,strong,text.summary_detailed_en,The sketch takes place in a clinic consulting room where a bespectac,y
doctor,YPieQWuJJFg,383,Kargin Haghordum sketch 147 (Hayko Mko),,strong,text.summary_detailed_en,f right in front of a psychiatric hospital (asylum). He is seen frantically,
doctor,YoGuj76WvJI,640,Kargin Haghordum sketch 583 (Hayko Mko),https://www.youtube.com/watch?v=c2e4SgVd2AU&list=PLC4FFB3F0AFB8146C&index=127&t=0s,strong,text.summary_detailed_en,"In a hospital clinic office, a doctor in a whit",
doctor,YoVa3ycxg-E,236,Kargin Haghordum sketch 318 (Hayko Mko),,strong,text.summary_detailed_en,kes place in what appears to be a clinic waiting room. A man wearing a blu,y
doctor,ZJK7CXG4Rn8,260,Kargin Haghordum sketch 567 (Hayko Mko),,strong,text.summary_detailed_en,"The sketch takes place in a hospital room where Qajik, a man heavily b",
doctor,ZNM35ezEGeM,150,Kargin Haghordum sketch 524 (Hayko Mko),,strong,text.summary_detailed_en,ketch takes place in a minimalist hospital corridor. A man with a thick must,y
doctor,_OF9JzCnuPY,314,Kargin Haghordum sketch 475 (Hayko Mko),,strong,text.summary_detailed_en,"etch takes place in a psychiatric hospital office where a doctor, wearing bl",y
doctor,c2e4SgVd2AU,498,Kargin Haghordum sketch 126 (Hayko Mko),https://www.youtube.com/watch?v=YoGuj76WvJI&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=184&t=0s,strong,text.summary_detailed_en,"In a hospital doctor's office, a physician (in",
doctor,cZlUHn9xle8,368,Kargin Haghordum sketch 484 (Hayko Mko),,strong,text.summary_detailed_en,The sketch begins in a hospital lobby where two friends meet. One,
doctor,cgaTVZKUFuY,346,Kargin Haghordum sketch 513 (Hayko Mko),,strong,text.summary_detailed_en,aims his mother was rushed to the hospital with a burst appendix but insists,
doctor,dXWm_NEWbfM,391,Kargin Haghordum - Analiz (Hayko Mko),,strong,text.summary_detailed_en,that he even walked to the local polyclinic himself that morning to submit hi,
doctor,eGBMeksUdew,658,Kargin Haghordum sketch 221 (Hayko Mko),,strong,text.summary_detailed_en,eth and is told she will become a dentist. The joke concludes with a studen,
doctor,eSGwM7ZNPnA,197,Kargin Haghordum sketch 534 (Hayko Mko),,strong,text.summary_detailed_en,doctor's office where a mustached surgeon in blue scrubs and a surgical cap,y
doctor,f1rGyGwoJ68,309,Kargin Haghordum sketch 470 (Hayko Mko),,strong,text.summary_detailed_en,"In a hospital consulting room, a mustached man",y
doctor,fCpr6SFJQsE,538,Kargin Haghordum sketch 171 (Hayko Mko),,strong,text.summary_en,A stingy man negotiates with a dentist for the cheapest possible tooth e,y
doctor,fNXg8Cs7ifY,680,Kargin Haghordum sketch 260 (Hayko Mko),,strong,text.summary_en,A man escapes from a hospital after being told he has seven hou,y
doctor,fsW7XueiNLg,011,Kargin Haghordum sketch 299,,strong,text.summary_detailed_en,"Upon his return, Rudik visits the clinic again, ecstatic and bearing a wra",y
doctor,gDUYrHF4s14,576,Kargin Haghordum sketch 427 (Hayko Mko),,strong,text.summary_detailed_en,"e first man begs to be taken to a hospital, addressing a group of 'boys' who",
doctor,hfQb2B0KVs4,271,Kargin Haghordum sketch 579 (Hayko Mko),,strong,text.keywords_en,"or, pneumonia, medicine, patient, hospital, grandfather, humor, joke",y
doctor,kIc8JOhTGbE,484,Kargin Haghordum sketch 112 (Hayko Mko),https://www.youtube.com/watch?v=R6VbgKcNBYY&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=67&t=0s,strong,visual.visual_synopsis,"in a sling, visiting an office or clinic hallway with a mustached man.",
doctor,kKDydl5jRAY,533,Kargin Haghordum sketch 167 (Hayko Mko),https://www.youtube.com/watch?v=0iKAm_aZ7Og&list=PLC4FFB3F0AFB8146C&index=118&t=0s,strong,text.title_en,Koryun's Hospital Performance,
doctor,kOGVCV4TAgY,191,Kargin Haghordum sketch 371 (Hayko Mko),,strong,text.summary_detailed_en,The sketch takes place in a clinic office where a frustrated pediatr,y
doctor,kc_5NV5QkFI,318,Kargin Haghordum sketch 479 (Hayko Mko),,strong,text.keywords_en,"trist, brain, profanity, patient, clinic, money, treatment",y
doctor,kolSov5YzHw,561,Kargin Haghordum sketch 196 (Hayko Mko),,strong,text.title_en,Professional Boxer at the Clinic,y
doctor,l4p3EXW1MEM,423,Kargin Haghordum - Gjer (Hayko Mko),,strong,text.keywords_en,"nsane asylum, driver, van, mental hospital, broken car, hallucination, patie",
doctor,l6xts0RYR_k,503,Kargin Haghordum sketch 131 (Hayko Mko),,strong,text.keywords_en,"doctor, hospital, vasectomy, large family, voting,",y
doctor,mHr8lcIK5AI,519,Kargin Haghordum sketch 153 (Hayko Mko),,strong,text.summary_detailed_en,e sketch takes place in a medical clinic where a mustachioed doctor wearin,y
doctor,oewiZYAGujY,646,Kargin Haghordum sketch 589 (Hayko Mko),,strong,text.summary_detailed_en,"ly that while he should be in the hospital, they can wait until morning to s",
doctor,qjkWGYnwMbw,070,Kargin Haghordum sketch 635 (Hayko Mko),,strong,text.summary_detailed_en,"simply points out the window at a hospital passing by, revealing that was th",
doctor,rh2-lZwbQ9s,233,Kargin Haghordum sketch 315 (Hayko Mko),,strong,text.title_en,Hospital Casino,y
doctor,t0_1q3yTdCU,075,Kargin Haghordum sketch 667 (Hayko Mko),,strong,text.summary_detailed_en,The sketch begins in a clinic corridor where a family is discus,
doctor,vwaCjXU4Neg,669,Kargin Haghordum sketch 249 (Hayko Mko),,strong,text.summary_detailed_en,"t happens again, he has a plastic surgeon friend who will 'rejuvenate' the",
doctor,xFKrPTRGLjU,656,Kargin Haghordum sketch 599 (Hayko Mko),,strong,text.summary_detailed_en,"d, asks why he didn't come to the clinic sooner to have them removed. The",y
doctor,xQpgwwduLeI,012,Kargin Haghordum sketch 300,,strong,text.summary_detailed_en,The sketch takes place in a polyclinic doctor's examination room. A nerv,y
doctor,xVpyEOc0y_Y,591,Kargin Haghordum sketch 442 (Hayko Mko),,strong,text.summary_en,illed' someone more easily at the hospital.,y
doctor,yW_p-x7N2bw,237,Kargin Haghordum sketch 319 (Hayko Mko),,strong,text.keywords_en,"psychologist, hospital, stencil, typo, hypnosis, consult",y
doctor,yhXKkn32Tas,618,Kargin Haghordum sketch 500 (Hayko Mko),,strong,text.summary_en,Two hyper-masculine men at a hospital refuse to accept the news of a ba,y
doctor,15y8SiYBMRI,548,Kargin Haghordum sketch 180 (Hayko Mko),,weak,text.title_en,The Anesthesia Doctor,
doctor,16m0-82_Igs,539,Kargin Haghordum sketch 172 (Hayko Mko),,weak,text.summary_detailed_en,e if he sees too many people. The doctor coordinates with his orderlies to,
doctor,31-baXiIagE,634,Kargin Haghordum sketch 556 (Hayko Mko),,weak,text.summary_detailed_en,ls the punchline: she needs to be patient and hide the wealth until her fat,
doctor,6bl5UzPlxtE,123,Kargin Haghordum sketch 686 (Hayko Mko),,weak,text.summary_detailed_en,"his 'successful' business selling medicinal herbs, claiming he earned eno",
doctor,6iR5oe-tj3g,508,Kargin Haghordum sketch 136 (Hayko Mko),,weak,text.summary_en,reunite to reminisce about their medical internships and discuss their m,
doctor,82r9vHp8k0Y,686,Kargin Haghordum sketch 266 (Hayko Mko),,weak,text.summary_detailed_en,(acts) based on the state of the medical supplies. He complains that the,
doctor,9waE9oRnddw,517,Kargin Haghordum sketch 151 (Hayko Mko),,weak,text.summary_detailed_en,"with a panicked phone call to the ambulance service (Skory), reporting that t",
doctor,BKzC7Ph5FxM,648,Kargin Haghordum sketch 591 (Hayko Mko),,weak,text.summary_detailed_en,tion of grocery shopping over the medical emergency of a 'dream man' in h,
doctor,CRTZxK3yEH8,156,Kargin Haghordum sketch 530 (Hayko Mko),,weak,text.summary_detailed_en,he already bought bread from the pharmacy next door and now demands sour c,
doctor,F7TPxt1wSDk,366,Kargin Haghordum sketch 494 (Hayko Mko),,weak,text.summary_en,"rvice by swapping places during a medical examination, but the plan backf",
doctor,Gm4Csg8_Z2I,138,Kargin Haghordum sketch 374 (Hayko Mko),,weak,text.summary_detailed_en,tial courtyard during the day. An ambulance is present with paramedics tendin,
doctor,HOIkWBoM-us,032,Kargin Haghordum sketch 339 (Hayko Mko),,weak,text.title_en,The Mad Doctor and His Patients,
doctor,HQWbF7x1b9w,168,Kargin Haghordum sketch 212 (Hayko Mko),,weak,text.title_en,The Sailor's Medications,
doctor,LTjzI3_hPaY,636,Kargin Haghordum sketch 558 (Hayko Mko),,weak,text.summary_detailed_en,the grandmother's blood pressure medication instead of his own substance,
doctor,LY-PrNKJxsM,065,Kargin Haghordum sketch 630 (Hayko Mko),,weak,text.summary_en,After a doctor tells a wealthy man he only has o,
doctor,NypCXWhqXKs,058,Kargin Haghordum sketch 623 (Hayko Mko),,weak,text.summary_detailed_en,"onscious onto a couch, she ties a medical bandage around his jaw to keep",
doctor,Pp2eMnH6Zd8,014,Kargin Haghordum sketch 302 (Hayko Mko),,weak,text.summary_detailed_en,reported his own son for stealing medicine from a pharmacy to save his li,
doctor,QMH1oz2EoVg,638,Kargin Haghordum sketch 581 (Hayko Mko),,weak,text.summary_detailed_en,The sketch takes place in a doctor's office where a village tractor,
doctor,R6VbgKcNBYY,305,Kargin Haghordum sketch 466 (Hayko Mko),https://www.youtube.com/watch?v=kIc8JOhTGbE&list=PLC4FFB3F0AFB8146C&index=113&t=0s,weak,text.summary_detailed_en,Artyomik's arm to get a six-month medical deferment. After the friends fa,
doctor,S8bCsNnNnJE,490,Kargin Haghordum sketch 118 (Hayko Mko),https://www.youtube.com/watch?v=7KKsmTxazyY&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=79&t=0s,weak,text.keywords_en,"rtyard, old men, gossip, illness, medication, old age, bench, neighbors",
doctor,VZcxFrT4BKk,695,Kargin Haghordum sketch 569 (Hayko Mko),,weak,text.summary_en,"' for daily expenses, leading the doctor to offer the same deal.",
doctor,WAE8wAs9FR0,084,Kargin Haghordum sketch 658 (Hayko Mko),,weak,text.summary_en,ren over the person providing the medical aid.,
doctor,WuzT_vKu-u4,514,Kargin Haghordum sketch 148 (Hayko Mko),,weak,text.summary_en,A former convict visits an eye doctor to get a signature for his parole,
doctor,WzLmm318o80,091,Kargin Haghordum sketch 651 (Hayko Mko),,weak,text.summary_en,ells a struggling artist that his doctor bought all his paintings after co,
doctor,ZHNMkOQ6WpM,528,Kargin Haghordum sketch 162 (Hayko Mko),,weak,text.keywords_en,"hypnosis, predicting the future, doctor, couch, blindfold, money",
doctor,ZQir3l1VrVo,386,Kargin Haghordum- Porch@ bjishki mot (Hayko Mko),,weak,text.title_en,Doctor's Advice in the Car,
doctor,ZVSYU_ez_dY,393,Kargin Haghordum - Trener (Hayko Mko),,weak,text.summary_detailed_en,", regretting that he didn't go to medical school as his father wished ins",
doctor,aJv99i6NJZU,006,Kargin Haghordum - Stress (Hayko Mko),,weak,text.summary_en,"son, and bedwetting, only for the doctor’s antidepressants to change his a",
doctor,bG0Vzk2SuQU,325,Kargin Haghordum sketch 287 (Hayko Mko),,weak,text.summary_en,"ectly, but labels everyone in the doctor's Rorschach-style test as gay.",
doctor,bHv-5tqagpU,691,Kargin Haghordum sketch 271 (Hayko Mko),,weak,text.summary_en,A doctor uses animal metaphors to explain,
doctor,cIU6H6DTLr8,529,Kargin Haghordum sketch 163 (Hayko Mko),,weak,text.summary_en,A newlywed couple visits a pharmacy to buy a pregnancy test but repe,
doctor,dwXDsd5eBsE,513,Kargin Haghordum sketch 143 (Hayko Mko),,weak,text.title_en,Potassium Cyanide and the Pharmacy,
doctor,gCYod49MYII,542,Kargin Haghordum sketch 174 (Hayko Mko),,weak,text.summary_en,o use up his late wife's leftover medicine.,
doctor,gzpPMpf_pmA,069,Kargin Haghordum sketch 634 (Hayko Mko),,weak,text.summary_detailed_en,edia instead of letting her see a doctor. The conversation shifts to their,
doctor,h7IqrsqBy1M,295,Kargin Haghordum sketch 414 (Hayko Mko),,weak,text.title_en,The Doctor's Suppositories and the Late Call,
doctor,ipVYU1B3mTs,562,Kargin Haghordum sketch 197 (Hayko Mko),,weak,text.summary_detailed_en,"howing typical concern or seeking medical help, the woman reacts with a m",
doctor,ja-t-8MEMKc,009,Kargin Haghordum sketch 296 (Hayko Mko),,weak,text.summary_en,s to his wife about his expensive doctor-prescribed vacations before being,
doctor,oYbSr-GJ2Zk,005,Kargin Haghordum sketch 279 (Hayko Mko),,weak,text.summary_detailed_en,"igarette. Despite the bartender's patient assistance, the interaction becom",
doctor,qC_PRKGdMgk,124,Kargin Haghordum sketch 685 (Hayko Mko),,weak,text.summary_en,acy requirements suggested by the doctor.,
doctor,rErcpknoD_4,681,Kargin Haghordum sketch 261 (Hayko Mko),,weak,text.summary_detailed_en,'collaborates' by importing their medicine. When Tigran politely refuses,
doctor,rg8L5MqjDF4,552,Kargin Haghordum sketch 184 (Hayko Mko),,weak,text.keywords_en,"ident, plaster cast, bar, drinks, patient, nerves",
doctor,sOWmXDL8T68,530,Kargin Haghordum sketch 164 (Hayko Mko),,weak,text.summary_detailed_en,"e in a brightly lit, well-stocked pharmacy or baby supply store. Two shop c",
doctor,vbWvlxJnC_w,312,Kargin Haghordum sketch 473 (Hayko Mko),,weak,text.title_en,Medicine for Proshyan Sovkhoz,
doctor,z3FMKrxzWhc,019,Kargin Haghordum sketch 326 (Hayko Mko),,weak,text.title_en,Patient's Last Words,
traffic_police,-oFwyHwg4TM,433,Kargin Haghordum - Prava (Hayko Mko),,strong,text.topics,"police, money, transport",y
traffic_police,13-sTb5uYH8,467,Kargin Haghordum sketch 092 (Hayko Mko),,strong,text.summary_detailed_en,"drunk to go to the factory, so he pulled over to sleep, only to wake up and fin",
traffic_police,1xg6L8B7Z_M,249,Kargin Haghordum sketch 352 (Hayko Mko),,strong,text.topics,"police, transport, crime",y
traffic_police,2gZ-NK4GJZY,696,Kargin Haghordum - Sex mashni mech (Hayko Mko),,strong,text.summary_detailed_en,"quiet park road during the day. A traffic police officer, wearing a standard polic",y
traffic_police,7vpP1F4L1xo,081,Kargin Haghordum sketch 661 (Hayko Mko),,strong,text.topics,"transport, police, other",
traffic_police,82r9vHp8k0Y,686,Kargin Haghordum sketch 266 (Hayko Mko),,strong,text.topics,"police, transport, bureaucracy",y
traffic_police,8FNynS9GoAs,674,Kargin Haghordum - GAIshnik (Hayko Mko),,strong,text.topics,"police, drinking, transport",y
traffic_police,8dn6nxfcJSA,228,Kargin Haghordum sketch 310 (Hayko Mko),,strong,text.summary_detailed_en,"klessly in a Lada 2106 to provoke traffic police. After this long, hyperactive mon",y
traffic_police,9ar153dXxcc,100,Kargin Haghordum sketch 641 (Hayko Mko),,strong,text.topics,"transport, drinking, police",
traffic_police,BCDNaGGDjAY,687,Kargin Haghordum - Hetapndum (Hayko Mko),,strong,text.topics,"police, crime, transport",y
traffic_police,EJbI_w-Fktg,144,Kargin Haghordum sketch 380 (Hayko Mko),,strong,text.topics,"police, transport, work",y
traffic_police,F65-KmCZpNc,407,Kargin Haghordum - Mlicu anekdot@ (Hayko Mko),,strong,text.topics,"transport, drinking, police",
traffic_police,GYewdqQfAws,685,Kargin Haghordum sketch 265 (Hayko Mko),,strong,text.topics,"police, transport, crime",y
traffic_police,HB8G9zual8A,331,Kargin Haghordum sketch 293 (Hayko Mko),,strong,text.title_en,Double Fertilization and the Traffic Cop,y
traffic_police,HlgdRBKwBM0,609,Kargin Haghordum sketch 487 (Hayko Mko),https://www.youtube.com/watch?v=rktRofsEmtg&list=PLC4FFB3F0AFB8146C&index=111&t=0s,strong,text.topics,"crime, police, transport",
traffic_police,HtqqKTTiU3w,406,Kargin Haghordum - Porchn u gaishnik@ (Hayko Mko),,strong,text.topics,"police, transport",y
traffic_police,I2pX4UZ4gJU,436,Kargin Haghordum - Tmranyut (Hayko Mko),,strong,text.topics,"police, crime, transport",y
traffic_police,IsgF4_C3xjY,689,Kargin Haghordum sketch 269 (Hayko Mko),,strong,text.topics,"police, transport, money",y
traffic_police,L3CiQABljX8,277,Kargin Haghordum sketch 230 (Hayko Mko),,strong,visual.visual_synopsis,them before driving off and being pulled over by a white Lada militsia car; and,
traffic_police,O1LDjwZcN9s,092,Kargin Haghordum sketch 650 (Hayko Mko),,strong,text.topics,"transport, police, bureaucracy",y
traffic_police,UhyVa3nczbg,688,Kargin Haghordum sketch 268 (Hayko Mko),,strong,text.topics,"police, transport",y
traffic_police,aeiBCku2UbE,234,Kargin Haghordum sketch 316 (Hayko Mko),,strong,text.topics,"police, transport, bureaucracy",y
traffic_police,alABhSPvMtU,206,Kargin Haghordum sketch 386 (Hayko Mko),,strong,text.summary_en,A traffic police officer returns home to his famil,y
traffic_police,d6r41kkDJvA,599,Kargin Haghordum sketch 450 (Hayko Mko),,strong,text.summary_detailed_en,"her to hell. The third soul is a traffic policeman, complete with his military ca",
